,creation_year_month,bing,compensate,display,facebook,search,youtube
0,201906,7,1226,3,1318,108,1
1,201907,120,14197,44,10011,1328,8
2,201908,71,13480,74,9855,1939,15
3,201909,84,12111,12,6129,1852,2
4,201910,86,10443,50,9489,2333,11
5,201911,103,11083,90,12995,2510,47
6,201912,28,12065,112,9288,3770,76
7,202001,172,13403,536,6289,4073,370
8,202002,303,14952,341,7988,4300,205
9,202003,172,15645,145,6889,3093,178
