cluster_kmeans,male_TF,weekly_consumption_hour,age,intended_use_access to exclusive content,intended_use_education,intended_use_expand international access,intended_use_expand regional access,intended_use_other,intended_use_replace OTT,intended_use_supplement OTT,attribution_survey_affiliate,attribution_survey_amfm_radio,attribution_survey_direct_mail,attribution_survey_facebook,attribution_survey_facebook_organic,attribution_survey_other,attribution_survey_ott,attribution_survey_pinterest,attribution_survey_podcast,attribution_survey_public_radio,attribution_survey_referral,attribution_survey_search,attribution_survey_sirius xm,attribution_survey_social_organic,attribution_survey_tv,attribution_survey_youtube,op_sys_Android,op_sys_iOS,preferred_genre_comedy,preferred_genre_drama,preferred_genre_international,preferred_genre_other,preferred_genre_regional,package_type_base,package_type_economy,package_type_enhanced,payment_period_0,payment_period_1,payment_period_2,payment_period_3
0,0.11883596351527435,28.46717971586468,43.137031405444915,0.5005936006949472,0.011408715795569712,0.031764876212538005,0.032387433038946,0.027841320399594614,0.22645142608947444,0.16955262776893007,0.013203995946141595,0.0019545388736064862,0.0029535254090053567,0.43431301578109166,0.005559577240480671,0.04117561893730998,0.010395251194440423,0.05145504560590705,0.02485883885912842,0.03842478644853048,0.15384392645142608,0.05403214130592153,0.008093238743303895,0.027928188793977123,0.11113363254669176,0.020674677863037498,0.0,1.0,0.7296366005501665,0.17986101056898798,0.029100912118141017,0.011987838424786448,0.04941363833791806,0.5353843926451426,0.06381931373968437,0.400796293615173,0.0,0.6640654408571015,0.31811206022875343,0.01782249891414507
1,0.13291014290270164,27.959786692693847,46.569716996670714,0.3831948852678097,0.02786678613190785,0.062096614982763594,0.07524791568588741,0.037722668529514496,0.2846816200701605,0.12918950933195644,0.009066196905040319,0.0017616060988018042,0.0015945572446050813,0.5018299442664277,0.0030068793755410107,0.03590031739282298,0.007183100730459081,0.03851235402208082,0.010007744992330939,0.028732402921836323,0.07775364849883826,0.043037859344864766,0.004950720588011967,0.016887120533341432,0.20118756549074399,0.018587981594253518,1.0,0.0,0.6169721635863871,0.26900940029461345,0.043539005907454936,0.024556181566918252,0.045923248644626345,0.5760907530866073,0.10736685447007548,0.3165423924433173,0.43429664839253446,0.3626934349800301,0.1908001640116023,0.012209752615833194
2,0.1375064041572129,27.452092082771454,49.580408934672285,0.19241747785991364,0.04589036082851497,0.12347215106491986,0.1259606235819366,0.04170021225206763,0.4115128449096099,0.0590463295030374,0.0076300958793822735,0.00133572421869282,0.001372319402766596,0.5675730073922272,0.003000805094049623,0.02279879967796238,0.0043365293127424435,0.02395154797628632,0.009624533411403059,0.024720046841835614,0.025854497548122666,0.028031911000512333,0.003805899143672693,0.01255214813730513,0.25587352704384103,0.007538607919197833,0.0,1.0,0.5263119373490449,0.3282039083656591,0.04277977018224401,0.037693039595989165,0.06501134450706288,0.5721474054014491,0.13745151138110226,0.29040108321744856,0.9950230549659664,0.0,0.001006367562028837,0.003970577472004684
